AcFunc,nodes,layers,decrs,mse,time
<function relu at 0x7fb1968659e0>,36.0,6.0,1.0,1.095333524895874,0.59
<function relu at 0x7fb1968659e0>,36.0,6.0,0.0,0.27620122762523086,0.69
<function relu at 0x7fb1968659e0>,36.0,8.0,1.0,0.21070360376505887,0.59
<function relu at 0x7fb1968659e0>,36.0,8.0,0.0,0.24141214603184966,0.69
<function relu at 0x7fb1968659e0>,36.0,10.0,1.0,0.4775489641053366,0.7
<function relu at 0x7fb1968659e0>,36.0,10.0,0.0,0.20139527717703204,0.69
<function relu at 0x7fb1968659e0>,36.0,12.0,1.0,1.0257210708275442,0.7
<function relu at 0x7fb1968659e0>,36.0,12.0,0.0,0.18236797994188214,1.38
<function relu at 0x7fb1968659e0>,36.0,14.0,1.0,6.49431636332315,0.7
<function relu at 0x7fb1968659e0>,36.0,14.0,0.0,0.2156541818913542,0.77
<function relu at 0x7fb1968659e0>,48.0,6.0,1.0,0.5190180264397627,0.52
<function relu at 0x7fb1968659e0>,48.0,6.0,0.0,0.2018404549932232,0.7
<function relu at 0x7fb1968659e0>,48.0,8.0,1.0,0.20787084581431792,0.57
<function relu at 0x7fb1968659e0>,48.0,8.0,0.0,0.17172151988429687,0.7
<function relu at 0x7fb1968659e0>,48.0,10.0,1.0,0.47861231005368277,0.63
<function relu at 0x7fb1968659e0>,48.0,10.0,0.0,0.25955982107014713,0.69
<function relu at 0x7fb1968659e0>,48.0,12.0,1.0,0.21777968350033103,0.7
<function relu at 0x7fb1968659e0>,48.0,12.0,0.0,0.16324681114153347,1.38
<function relu at 0x7fb1968659e0>,48.0,14.0,1.0,6.494515955912059,0.8
<function relu at 0x7fb1968659e0>,48.0,14.0,0.0,0.16908865378386406,0.82
<function relu at 0x7fb1968659e0>,60.0,6.0,1.0,0.6060658894091315,0.69
<function relu at 0x7fb1968659e0>,60.0,6.0,0.0,0.18106577064365623,0.59
<function relu at 0x7fb1968659e0>,60.0,8.0,1.0,0.5357446055898138,0.69
<function relu at 0x7fb1968659e0>,60.0,8.0,0.0,0.2537938914768912,0.69
<function relu at 0x7fb1968659e0>,60.0,10.0,1.0,1.0268357146844929,0.7
<function relu at 0x7fb1968659e0>,60.0,10.0,0.0,0.1895964461866254,0.75
<function relu at 0x7fb1968659e0>,60.0,12.0,1.0,0.245189937965067,0.73
<function relu at 0x7fb1968659e0>,60.0,12.0,0.0,0.18593561214276277,0.81
<function relu at 0x7fb1968659e0>,60.0,14.0,1.0,6.495310719823978,0.81
<function relu at 0x7fb1968659e0>,60.0,14.0,0.0,0.1759902771248353,0.89
<function relu at 0x7fb1968659e0>,72.0,6.0,1.0,1.0681616144977466,0.54
<function relu at 0x7fb1968659e0>,72.0,6.0,0.0,0.19873994907491513,0.69
<function relu at 0x7fb1968659e0>,72.0,8.0,1.0,0.22498877428354008,0.7
<function relu at 0x7fb1968659e0>,72.0,8.0,0.0,0.2524435924933554,1.38
<function relu at 0x7fb1968659e0>,72.0,10.0,1.0,0.971962789398603,1.38
<function relu at 0x7fb1968659e0>,72.0,10.0,0.0,0.16572307376777784,0.78
<function relu at 0x7fb1968659e0>,72.0,12.0,1.0,0.2063305618266862,1.38
<function relu at 0x7fb1968659e0>,72.0,12.0,0.0,0.18840071894297106,0.89
