AcFunc1,AcFunc2,nodes,layers,decrs,mse,time
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,8.0,0.0,0.17648963331121972,0.6
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,12.0,0.0,0.1517050073614002,0.64
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,16.0,0.0,0.1738036825987609,0.75
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,35.0,8.0,0.0,0.1911591621010935,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,35.0,12.0,0.0,0.17125033430960127,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,35.0,16.0,0.0,0.11735579789263473,0.83
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,8.0,0.0,0.16710872461393325,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,12.0,0.0,0.20498492917672834,0.68
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,16.0,0.0,0.16149974752541496,0.8
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,45.0,8.0,0.0,0.16855496504877335,0.56
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,45.0,12.0,0.0,0.12988281735328505,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,45.0,16.0,0.0,0.11633884834198628,0.83
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,8.0,0.0,0.1408392748667071,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,12.0,0.0,0.21668392051929053,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,16.0,0.0,0.12102213605888404,1.39
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,55.0,8.0,0.0,0.1425826619847416,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,55.0,12.0,0.0,0.11485263338354917,1.39
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,55.0,16.0,0.0,0.13993360129986743,0.92
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,8.0,0.0,0.1870380838232131,0.48
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,12.0,0.0,0.2001379690454437,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,16.0,0.0,0.295851170138667,0.66
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,35.0,8.0,0.0,0.2017533893259354,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,35.0,12.0,0.0,0.12572377458590142,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,35.0,16.0,0.0,0.15974035029991676,1.38
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,8.0,0.0,0.2239695371962796,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,12.0,0.0,0.2499894113908172,0.6
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,16.0,0.0,0.1512836284995597,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,45.0,8.0,0.0,0.17530305763958898,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,45.0,12.0,0.0,0.16063921305146409,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,45.0,16.0,0.0,0.20254708776767674,1.38
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,8.0,0.0,0.26401126834211747,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,12.0,0.0,0.20072975956732964,0.71
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,16.0,0.0,0.1702694970531408,0.75
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,55.0,8.0,0.0,0.20808112876599488,0.53
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,55.0,12.0,0.0,0.14544703343410728,0.66
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,55.0,16.0,0.0,0.2430103347060328,1.38
